"Code ISO_3","Numéro","Continent rattaché","State","État","Superficie 2007","Superficie 2012","Pop 2007","Pop 2008","Pop 2009","Pop 2010","Pop 2011","Pop 2012","Pop 2013","Pop 2014","Pop 2015","Pop 2016","Pop 2017","Pop 2018","Pop 2019","Pop 2020","Pop 2021","Pop 2022","Pop 2023","Pop 2024","Pop 2025","Densité 2007","Densité 2008","Densité 2009","Densité 2010","Densité 2011","Densité 2012","Densité 2013","Densité 2014","Densité 2015","Densité 2016","Densité 2017","Densité 2018","Densité 2019","Densité 2020","Densité 2021","Densité 2022","Densité 2023","Densité 2024","Densité 2025"
"mus",112,"Afrique","Mauritius","Maurice",2000,2000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1200000,1300000,1300000,1200000,650,650.,650.,650.,650.,650.,650.,650.,650.,650.,650.,650.,650.,650.,650.,600.,650.,650.,600.
"mrt",113,"Afrique","Mauritania","Mauritanie",1027000,1027000,3200000,3100000,3200000,3300000,3300000,3500000,3600000,3700000,3700000,3600000,4200000,4300000,4500000,4500000,4600000,4700000,4700000,4800000,5100000,3,3.02,3.12,3.21,3.21,3.41,3.5100000000000002,3.6,3.6,3.5100000000000002,4.09,4.19,4.38,4.38,4.48,4.58,4.58,4.67,4.97
"mex",114,"Amérique","Mexico","Mexique",1960000,1960000,108300000,106500000,107700000,109600000,110600000,114800000,116700000,117600000,117600000,127000000,128000000,128000000,130700000,127600000,129000000,130000000,128500000,128400000,130800000,55,54.34,54.95,55.92,56.43,58.57,59.54,60.,60.,64.8,65.31,65.31,66.68,65.1,65.82000000000001,66.33,65.56,65.51,66.73
"mda",115,"Europe","Moldova","Moldavie",34000,34000,4000000,3900000,4100000,4100000,3600000,4100000,3500000,4100000,4100000,4100000,4100000,4100000,4000000,4000000,4000000,4000000,3200000,3400000,3000000,118,114.71000000000001,120.59,120.59,105.88,120.59,102.94,120.59,120.59,120.59,120.59,120.59,117.65,117.65,117.65,117.65,94.12,100.,88.24
"mco",116,"Europe","Monaco","Monaco",2,2,,,,,,,,33000,33000,40000,38400,38400,38308,40000,38308,38350,39500,39050,38300,,,,,,,,16500.,16500.,20000.,19200.,19200.,19154.,20000.,19154.,19175.,19750.,19525.,19150.
"mng",117,"Asie","Mongolia","Mongolie",1568000,1568000,2600000,2600000,2700000,2700000,2700000,2800000,2800000,2800000,2800000,3000000,3000000,3000000,3100000,3200000,3300000,3300000,3400000,3400000,3400000,2,1.6600000000000001,1.72,1.72,1.72,1.79,1.79,1.79,1.79,1.9100000000000001,1.9100000000000001,1.9100000000000001,1.98,2.04,2.1,2.1,2.17,2.17,2.17
"mne",118,"Europe","Montenegro","Monténégro",13812,13812,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,626000,626000,622387,628000,622400,628000,627000,626000,638000,43,43.44,43.44,43.44,43.44,43.44,43.44,43.44,43.44,43.44,45.32,45.32,45.06,45.47,45.06,45.47,45.4,45.32,46.19
"moz",119,"Afrique","Mozambique","Mozambique",803000,803000,19900000,20400000,20400000,22000000,23400000,23100000,24500000,24300000,24300000,25700000,28700000,29500000,30500000,30400000,31200000,31100000,33000000,33900000,34600000,25,25.400000000000002,25.400000000000002,27.400000000000002,29.14,28.77,30.51,30.26,30.26,32.,35.74,36.74,37.980000000000004,37.86,38.85,38.730000000000004,41.1,42.22,43.09
"mmr",120,"Asie","Myanmar","Myanmar",677000,677000,51000000,49800000,49200000,50000000,50500000,54000000,48700000,53300000,53300000,52100000,54400000,54800000,53800000,54000000,54400000,54800000,54200000,54500000,54500000,75,73.56,72.67,73.86,74.59,79.76,71.94,78.73,78.73,76.96000000000001,80.35000000000001,80.95,79.47,79.76,80.35000000000001,80.95,80.06,80.5,80.5
"nam",121,"Afrique","Namibia","Namibie",825000,825000,2100000,2100000,2100000,2200000,2200000,2300000,2400000,2400000,2400000,2500000,2500000,2600000,2600000,2500000,2500000,2500000,2500000,2600000,3000000,3,2.5500000000000003,2.5500000000000003,2.67,2.67,2.79,2.91,2.91,2.91,3.0300000000000002,3.0300000000000002,3.15,3.15,3.0300000000000002,3.0300000000000002,3.0300000000000002,3.0300000000000002,3.15,3.64
"nru",122,"Océanie","Nauru","Nauru",21,21,,,,,,,,10000,10000,10000,10000,11000,13000,13000,10800,10800,11000,12600,11900,,,,,,,,476.19,476.19,476.19,476.19,523.8100000000001,619.0500000000001,619.0500000000001,514.29,514.29,523.8100000000001,600.,566.67
"npl",123,"Asie","Nepal","Népal",147000,147000,26000000,27800000,27000000,27500000,29900000,30500000,31000000,26800000,26800000,28000000,28800000,29200000,29500000,28600000,29000000,29600000,30500000,30900000,29600000,177,189.12,183.67000000000002,187.07,203.4,207.48000000000002,210.88,182.31,182.31,190.48,195.92000000000002,198.64000000000001,200.68,194.56,197.28,201.36,207.48000000000002,210.20000000000002,201.36
"nic",124,"Amérique","Nicaragua","Nicaragua",130000,130000,5600000,5600000,5700000,5700000,5800000,5900000,6000000,6000000,6000000,6300000,6100000,6200000,6300000,6500000,6600000,6700000,6900000,7000000,6900000,43,43.08,43.85,43.85,44.62,45.38,46.15,46.15,46.15,48.46,46.92,47.69,48.46,50.,50.77,51.54,53.08,53.85,53.08
"ner",125,"Afrique","Niger","Niger",1268000,1268000,14400000,14200000,14700000,15300000,15900000,16100000,16700000,16900000,16900000,18900000,20700000,21600000,22300000,23300000,24000000,25100000,26200000,27200000,27000000,11,11.200000000000001,11.59,12.07,12.540000000000001,12.700000000000001,13.17,13.33,13.33,14.91,16.32,17.03,17.59,18.38,18.93,19.79,20.66,21.45,21.29
"nga",126,"Afrique","Nigeria","Nigeria",925000,925000,134500000,144400000,148100000,152600000,158200000,162300000,166600000,174900000,174900000,181800000,186900000,191800000,195900000,201000000,206000000,211400000,218500000,223800000,232600000,145,156.11,160.11,164.97,171.03,175.46,180.11,189.08,189.08,196.54,202.05,207.35,211.78,217.3,222.70000000000002,228.54,236.22,241.95000000000002,251.46
"nor",127,"Europe","Norway","Norvège",324000,324000,4700000,4700000,4800000,4800000,4800000,5000000,5000000,5100000,5100000,5200000,5300000,5300000,5300000,5400000,5400000,5400000,5400000,5400000,5500000,15,14.51,14.81,14.81,14.81,15.43,15.43,15.74,15.74,16.05,16.36,16.36,16.36,16.67,16.67,16.67,16.67,16.67,16.98
"nzl",128,"Océanie","New Zealand","Nouvelle-Zélande",271000,271000,4100000,4200000,4300000,4300000,4300000,4400000,4500000,4500000,4500000,4600000,4500000,4600000,4700000,4800000,4800000,4900000,5200000,5200000,5200000,15,15.5,15.870000000000001,15.870000000000001,15.870000000000001,16.240000000000002,16.61,16.61,16.61,16.97,16.61,16.97,17.34,17.71,17.71,18.080000000000002,19.19,19.19,19.19
"omn",129,"Asie","Oman","Oman",213000,213000,2600000,2700000,2700000,3100000,2900000,3000000,2900000,4000000,3500000,4200000,4600000,4700000,4800000,4700000,5100000,5200000,4500000,4600000,5200000,12,12.68,12.68,14.55,13.620000000000001,14.08,13.620000000000001,18.78,16.43,19.72,21.6,22.07,22.54,22.07,23.94,24.41,21.13,21.6,24.41
